"HGC - Festiu - Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description","Location","Private"
"HGC - Festiu - Nadal","25/12/2021","0:00","25/12/2021","0:00","True","Nadal","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Sant Esteve","26/12/2021","0:00","26/12/2021","0:00","True","Sant Esteve","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Cap d'Any","01/01/2022","0:00","01/01/2022","0:00","True","Cap d'Any","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Reis","06/01/2022","0:00","06/01/2022","0:00","True","Reis","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Divendres Sant","15/05/2022","0:00","15/05/2022","0:00","True","Divendres Sant","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Dilluns de Pasqua Florida","18/05/2022","0:00","18/05/2022","0:00","True","Dilluns de Pasqua Florida","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Dilluns de Pasqua Granada","06/06/2022","0:00","06/06/2022","0:00","True","Dilluns de Pasqua Granada","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Sant Joan","24/06/2022","0:00","24/06/2022","0:00","True","Sant Joan","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Sant Pere","29/06/2022","0:00","29/06/2022","0:00","True","Sant Pere","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - L'Assumpció","15/08/2022","0:00","15/08/2022","0:00","True","L'Assumpció","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - La Mercè","26/09/2022","0:00","26/09/2022","0:00","True","La Mercè","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Festa Nacional d'Espanya","12/10/2022","0:00","12/10/2022","0:00","True","Festa Nacional d'Espanya","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Tots Sants","01/11/2022","0:00","01/11/2022","0:00","True","Tots Sants","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Dia de la Constitució","06/12/2022","0:00","06/12/2022","0:00","True","Dia de la Constitució","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - La Puríssima","08/12/2022","0:00","08/12/2022","0:00","True","La Puríssima","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Nadal","25/12/2022","0:00","25/12/2022","0:00","True","Nadal","Sant Cugat del Vallès, Barcelona","False"
"HGC - Festiu - Sant Esteve","26/12/2022","0:00","26/12/2022","0:00","True","Sant Esteve","Sant Cugat del Vallès, Barcelona","False"
